customer_id,date,credit_card,cvv,category
482,2014-09-15T16:43:41,514 41005 05085 229,150,Alcohol
442,2012-11-19T00:57:50,5491248114297104,816,Furniture
431,2014-01-09T10:52:08,5326988945558924,302,Toiletries
494,2014-01-08T19:36:10,5304372432194996,701,Shoes
424,2014-03-26T01:40:31,5117313221604560,615,Alcohol
478,2013-02-21T22:24:06,551010 8164916366,728,Jewelry
497,2013-05-03T07:41:35,515774 5343040952,736,Alcohol
467,2011-12-24T19:22:13,5523 0550 5880 0955,180,Furniture
404,2014-06-03T16:42:24,5123957481259341,187,Shoes
438,2013-03-23T23:06:34,549 30068 04454 833,166,Furniture
450,2013-12-03T21:36:31,559 58431 83696 338,845,Toiletries
470,2014-09-06T19:01:43,5507617457829537,406,Jewelry
439,2013-02-20T19:18:46,5321 8386 4860 5255,689,Shoes
498,2013-07-05T09:06:58,5381 9373 2116 9592,266,Furniture
474,2013-03-10T00:48:01,531814 672940 5743,233,Shoes
430,2013-05-24T00:10:19,559685 294097 2295,344,Food
476,2013-02-26T07:28:48,549 47685 22957 764,134,Shoes
443,2014-01-12T17:05:47,520 30636 15176 957,474,Alcohol
488,2013-01-27T12:01:16,557723 380801 2743,734,Alcohol
500,2012-06-07T16:40:18,5595468787370005,392,Food
449,2012-02-10T20:39:16,5112 5429 2775 3678,849,Food
401,2013-10-18T09:25:32,514453 732808 7991,291,Alcohol
488,2013-01-19T18:11:27,537823 056510 0266,488,Shoes
484,2013-12-18T01:15:18,5110758994736469,689,Jewelry
463,2014-10-27T08:05:28,512765 855612 1137,756,Jewelry
480,2013-10-26T02:21:21,5225333968180540,544,Alcohol
426,2013-03-20T09:56:19,524322 3807305267,811,Food
475,2011-12-29T00:46:23,5278 1074 5635 3066,900,Food
496,2011-12-03T12:06:24,534783 763706 1793,494,Shoes
494,2012-09-24T17:50:56,5383528861756985,886,Toiletries
450,2014-05-25T19:31:38,556 18127 62598 843,501,Alcohol
465,2012-04-11T05:15:37,556885 118117 5596,620,Jewelry
425,2013-03-30T16:37:28,5330 5830 4224 9552,848,Food
409,2013-12-21T06:40:12,530 19770 70394 022,490,Alcohol
451,2014-07-24T13:13:34,536103 6821290885,452,Furniture
424,2014-04-16T19:24:00,557853 987022 3953,934,Food
480,2014-05-04T00:11:38,534988 044196 9445,924,Furniture
425,2013-01-13T06:16:43,539386 187052 1381,608,Shoes
489,2013-12-01T15:51:03,5371 3089 8583 2770,226,Food
460,2013-01-25T14:36:07,5578 3573 5332 9662,481,Shoes
423,2012-08-20T03:28:32,534915 2081205575,491,Food
481,2014-01-15T18:52:43,555174 810615 9458,558,Furniture
495,2014-06-28T14:29:08,523923 444154 9638,653,Toiletries
407,2013-07-27T10:34:05,515595 930180 7037,384,Alcohol
416,2012-11-02T08:30:32,535694 0511953719,997,Jewelry
488,2013-10-07T20:46:36,5396 9871 2036 6819,132,Toiletries
465,2013-03-21T16:36:59,5296 5211 2735 1234,283,Furniture
421,2012-02-16T02:11:38,5238816207807761,495,Alcohol
451,2011-11-28T19:37:29,525648 9596003264,418,Shoes
434,2013-08-31T21:00:56,5150 9912 0367 8005,348,Shoes
434,2014-03-29T07:14:05,512 22243 51479 066,920,Food
469,2013-12-21T08:20:01,544 24793 20056 477,864,Shoes
438,2013-10-24T09:24:26,558421 8127357219,114,Furniture
475,2012-05-14T14:29:37,559055 861826 4834,273,Toiletries
459,2014-09-04T10:56:24,5186976822944159,113,Food
412,2014-04-14T02:52:46,542997 6130601365,516,Toiletries
456,2012-07-12T04:47:28,532 46851 50175 962,388,Toiletries
453,2013-03-22T04:15:33,5327252053745289,636,Food
493,2014-04-20T13:57:35,515811 632964 0802,392,Jewelry
435,2012-03-17T13:21:31,5234809511840788,818,Food
458,2014-06-23T11:50:29,522588 488506 2062,389,Jewelry
457,2011-11-10T14:59:13,536966 111625 7026,774,Toiletries
441,2012-06-02T12:12:25,548272 1507296025,961,Toiletries
455,2012-10-01T12:06:54,547 39051 41903 291,997,Furniture
469,2011-12-05T07:25:03,5118 2744 9245 2007,667,Furniture
416,2012-06-18T04:44:05,5249 6659 4617 5148,399,Toiletries
469,2012-06-02T07:58:50,524668 693478 7291,896,Furniture
413,2013-01-06T12:33:02,5559842473947108,897,Shoes
500,2012-09-05T23:13:55,556749 0219801856,853,Shoes
463,2012-11-20T13:02:27,554276 8450826504,405,Alcohol
444,2014-05-04T17:57:42,520 07985 58947 269,714,Shoes
445,2014-06-25T03:27:02,5328865049852023,563,Toiletries
412,2012-12-04T06:45:37,550260 512028 7279,180,Toiletries
465,2012-08-05T07:45:07,5597673058387038,219,Alcohol
414,2012-05-27T01:52:06,5135236698842900,480,Furniture
468,2012-08-17T02:38:02,532070 839394 1794,951,Toiletries
441,2013-08-28T08:04:52,543890 7411079772,468,Alcohol
439,2012-10-25T05:38:09,510521 838559 6292,239,Alcohol
493,2012-01-01T16:21:36,512845 767346 7286,629,Furniture
449,2013-10-16T02:43:17,547843 3307759550,290,Shoes
406,2014-08-18T10:26:29,5292596618190493,886,Toiletries
428,2014-01-21T03:54:02,5450533844262117,583,Toiletries
497,2012-10-22T13:04:39,5599 2604 0901 5621,385,Toiletries
481,2011-12-04T12:57:35,5383306030137753,291,Shoes
426,2014-05-31T09:19:09,5501 4404 0072 5637,657,Food
412,2011-12-01T00:32:47,5316195609133885,474,Jewelry
450,2012-01-12T13:35:06,532727 6575027801,768,Alcohol
419,2014-10-07T06:41:36,551355 5924531561,462,Alcohol
412,2011-11-30T01:16:14,512998 523179 6464,452,Shoes
415,2014-02-06T09:39:33,5256 5390 1728 3596,911,Alcohol
426,2013-03-13T02:51:33,529269 429666 7922,241,Jewelry
418,2014-10-22T09:34:55,537453 7166406742,626,Food
413,2012-07-12T09:25:06,546275 488407 2432,781,Furniture
446,2011-11-24T07:51:36,557 65168 95217 899,750,Jewelry
493,2012-11-13T19:01:48,5418582450959566,794,Toiletries
478,2014-02-15T14:59:57,526423 6631112190,389,Furniture
414,2013-01-07T04:59:25,540010 267183 8620,134,Shoes
423,2012-07-17T09:34:32,536 55286 84430 984,391,Alcohol
479,2011-11-13T13:47:23,540799 1878012978,201,Jewelry
482,2013-02-10T22:26:17,543328 845748 3755,657,Jewelry
